Regija;Število oddelkov;Število uèencev;Število deklet;Število romov;Število uèencev v podaljšanem bivanju;Število otrok z odloèbo o usmeritvi;Povpreèno število uèencev;Povpreèno število deklet;Povpreèno število romov na oddelek;Povpreèno število uèencev v podaljšanem bivanju;Povpreèno število otrok z odloèbo o usmeritvi
Osrednjeslovenska;2571;42176;28287;4136;21471;2465;16,40451186;11,00233372;1,608712563;8,351225204;0,958770906
Podravska;1537;18762;15954;3692;9204;1529;12,20689655;10,37996096;2,402081978;5,988288874;0,994795055
Savinjska;1365;22096;11868;866;9489;1029;16,18754579;8,694505495;0,634432234;6,951648352;0,753846154
Gorenjska;1032;18280;9454;326;8070;808;17,71317829;9,160852713;0,315891473;7,819767442;0,782945736
Jugovzhodna Slovenija;794;9429;8050;2493;3990;561;11,87531486;10,13853904;3,139798489;5,025188917;0,706549118
Goriška;634;9742;5098;355;4488;503;15,3659306;8,041009464;0,559936909;7,078864353;0,793375394
Pomurska;629;4970;6556;2356;2312;560;7,901430843;10,42289348;3,745627981;3,675675676;0,890302067
Obalno-Kraška;526;8733;4443;143;4610;429;16,6026616;8,446768061;0,271863118;8,764258555;0,815589354
Koroška;391;5871;2998;134;2709;368;15,01534527;7,667519182;0,342710997;6,928388747;0,941176471
Spodnjeposavska;375;4852;3471;712;2138;266;12,93866667;9,256;1,898666667;5,701333333;0,709333333
Notranjsko-Kraška;308;4348;2388;195;1925;220;14,11688312;7,753246753;0,633116883;6,25;0,714285714
Zasavska;183;2759;1784;280;1082;288;15,07650273;9,74863388;1,530054645;5,912568306;1,573770492
